10th Edition|12931,12933,12938,12944,12947,12951,12958,12960,12961,12963,12972,12975,12979,12980,12985,12997,13010,13011,13012,13022,13023,13026,13027,13031,13042,13044,13049,13051,13055,13056,13072,13074,13076,13082,13085,13098,13101,13103,13122,13123,13127,13135,13141,13142,13145,13150,13153,13155,13156,13172,13176,13187,13195,13197,13198,13203,13207,13210,13232,13238,13242,13247,13260,13261,13262,13265,13267,13269,13272,13273,13293,13294,13296
7th Edition|13987,14007,14018,14029,14031,14062,14064,14066,14067,14068,14102,14123,14136,14149,14159,14180,14186,14233,14246,14258,14269,14274,14291,14298,14316,14317
8th Edition|13659,13663,13664,13671,13678,13685,13689,13707,13725,13728,13733,13734,13764,13766,13779,13786,13805,13816,13836,13848,13853,13855,13856,13896,13933,13935,13949,13950,13955,13956,13957,13962,13979,13980
9th Edition|13299,13320,13323,13327,13329,13337,13338,13343,13361,13375,13376,13382,13409,13416,13421,13423,13427,13436,13438,13447,13449,13462,13464,13465,13483,13506,13511,13551,13560,13565,13567,13580,13581,13586,13600,13604,13605,13608,13609,13610,13611,13624,13629,13633,13634,13636
Alara Reborn|1909,1917,1925,1928,1934,1947,1952,1963,1967,1974,1976,1977,1979,1980,1981,1986,1987,1989,1997,2003,2011,2022,2025,2030,2033,2034,2037,2038,2047,2048
Alliances|10541,10551,10564,10569,10573,10577,10597,10599,10616,10620,10640,10641
Alpha Edition|16357,16358,16359,16360,16361,16362,16363,16364,16365,16367,16368,16370,16371,16372,16373,16375,16376,16377,16378,16379,16380,16381,16382,16383,16384,16385,16386,16387,16388,16389,16392,16394,16395,16396,16397,16398,16399,16400,16401,16402,16403,16404,16405,16406,16407,16408,16409,16410,16411,16412,16413,16414,16415,16416,16417,16418,16419,16420,16421,16422,16423,16424,16425,16426,16427,16428,16429,16430,16431,16432,16433,16434,16435,16436,16437,16438,16439,16440,16441,16442,16443,16444,16445,16446,16450,16451,16452,16453,16454,16455,16456,16457,16458,16459,16460,16461,16462,16463,16464,16465,16466,16467,16468,16469,16470,16471,16472,16473,16474,16475,16476,16477,16478,16479,16480,16481,16482,16483,16487,16488,16489,16490,16492,16493,16494,16495,16496,16497,16498,16499,16500,16501,16502,16503,16504,16505,16506,16507,16508,16509,16510,16511,16512,16513,16514,16515,16516,16517,16518,16519,16520,16521,16522,16523,16527,16530,16532,16533,16534,16535,16536,16537,16538,16539,16540,16541,16542,16543,16544,16545,16546,16547,16548,16549,16554,16555,16556,16557,16558,16559,16560,16562,16563,16564,16565,16566,16567,16568,16569,16570,16571,16572,16574,16575,16577,16578,16579,16581,16582,16583,16584,16585,16586,16587,16588,16589,16590,16591,16592,16593,16594,16595,16596,16597,16598,16599,16600,16601,16602,16606,16607,16608,16609,16610,16611,16612,16613,16615,16616,16617,16619,16620,16621,16622,16623,16625,16626,16627,16628,16629,16630,16631,16632,16633,16634,16635,16636,16637,16638,16639,16640,16641,16642,16643,16644,16645,16646,16647,16648,16649,16650,16651,16652,16653,16654,16656,26986,26987,26991,26999,27000,27002,27004,27008,27030,29540
Antiquities|11789,11797,11802,11803,11807,11808,11817,11818,11819,11820,11822,11825,11826,11830,11835,11836,11837,11840,11842,11851,11852,11858,11860,11863,11864,11866,11867,11868,11874,11886,21718,21719,21720,21721,21722,21723,21724,21725,21726,21727,21728,21729,21730,21731,21732,21733,22097,22098,22099,22100
Apocalypse|7367,7375,7383,7390,7395,7414,7438,7446,7457,7458,7475,7479,7496,7502
Arabian Nights|11888,11889,11890,11891,11892,11893,11894,11895,11896,11899,11900,11902,11903,11904,11905,11906,11910,11911,11912,11913,11915,11919,11922,11923,11927,11932,11933,11934,11935,11936,11937,11941,11942,11943,11944,11945,11947,11953,11954,11955,11956,11959,11960,11961,11962,11963,11964,11966,11967,11968,11969,11970,11971,11972,11973,11978,11979,19947,19950,20473,20475,23859
